Postcode,Population
800,4545
810,29723
812,19315
820,19049
822,24111
828,1696
829,1138
830,17977
832,9665
835,5198
836,7086
837,527
838,735
840,555
841,693
845,338
846,235
847,382
850,7588
852,7973
853,743
854,925
860,3061
862,693
870,25187
872,15483
880,5952
885,987
886,1128
2000,22758
2006,1155
2007,7111
2008,6296
2009,11617
2010,25404
2011,18040
2015,8427
2016,12033
2017,14469
2018,15397
2019,8900
2020,10178
2021,14239
2022,11594
2023,10765
2024,11078
2025,7182
2026,30396
2027,7306
2028,4686
2029,9400
2030,13914
2031,32321
2032,15265
2033,10962
2034,19092
2035,33234
2036,26896
2037,13842
2038,8669
2039,7922
2040,20861
2041,14753
2042,17720
2043,6850
2044,7192
2045,6651
2046,25180
2047,11378
2048,7701
2049,10455
2050,6705
2052,1810
2060,12268
2061,5681
2062,6782
2063,5931
2064,8641
2065,27175
2066,27623
2067,22621
2068,15870
2069,13283
2070,12277
2071,12160
2072,6593
2073,15736
2074,20943
2075,18644
2076,23776
2077,34898
2079,7105
2080,1573
2081,5166
2082,5654
2083,1544
2084,3535
2085,10707
2086,13192
2087,12290
2088,27452
2089,11082
2090,13023
2092,6728
2093,21611
2094,5491
2095,15074
2096,13875
2097,14388
2099,36685
2100,19445
2101,17980
2102,6144
2103,10164
2104,3091
2105,1835
2106,9036
2107,14464
2108,1900
2109,1789
2110,9807
2111,13424
2112,27771
2113,16800
2114,21476
2115,9471
2116,6218
2117,19019
2118,21570
2119,10903
2120,19626
2121,24617
2122,28545
2125,15966
2126,18779
2127,8144
2128,3163
2129,4
2130,6588
2131,22190
2132,10380
2133,10742
2134,12468
2135,23097
2136,6719
2137,24018
2138,13519
2139,56
2140,12512
2141,25479
2142,22525
2143,7460
2144,33123
2145,71312
2146,15684
2147,35074
2148,58671
2150,24811
2151,20223
2152,10224
2153,52452
2154,37914
2155,44028
2156,12347
2157,3710
2158,8289
2159,4550
2160,32845
2161,28269
2162,16989
2163,8753
2164,18365
2165,39513
2166,49723
2167,7555
2168,41911
2170,95044
2171,24390
2172,2262
2173,13256
2174,423
2175,1936
2176,46064
2177,15188
2178,4825
2179,5404
2190,24710
2191,6041
2192,12575
2193,13988
2194,21218
2195,25208
2196,29598
2197,8175
2198,8668
2199,16003
2200,40612
2203,12979
2204,24611
2205,12847
2206,18318
2207,27537
2208,11517
2209,14619
2210,28012
2211,16212
2212,14298
2213,20376
2214,3844
2216,26060
2217,23624
2218,15176
2219,12438
2220,28432
2221,15785
2222,11692
2223,19806
2224,13430
2225,5428
2226,11874
2227,14048
2228,17601
2229,27301
2230,26976
2231,2214
2232,31260
2233,29306
2234,30830
2250,65633
2251,31836
2256,14974
2257,27647
2258,5107
2259,53994
2260,21788
2261,51003
2262,20153
2263,22379
2264,13120
2265,5390
2267,2668
2278,2684
2280,26595
2281,13417
2282,14460
2283,23078
2284,10465
2285,27798
2286,3449
2287,33274
2289,18854
2290,32178
2291,13399
2292,2435
2293,2127
2294,1875
2295,5823
2296,1807
2297,1617
2298,9443
2299,10692
2300,10083
2302,595
2303,9005
2304,14969
2305,11941
2306,3096
2307,3704
2308,654
2311,837
2312,1506
2314,167
2315,13380
2316,5525
2317,6171
2318,11391
2319,6317
2320,29289
2321,10926
2322,16681
2323,24735
2324,22535
2325,26225
2326,7171
2327,7359
2328,2553
2329,2142
2330,20458
2333,13240
2334,2485
2335,5430
2336,2341
2337,7735
2338,1536
2339,668
2340,45700
2341,1727
2342,555
2343,4526
2344,734
2345,768
2346,2810
2347,1879
2350,24474
2351,859
2352,2810
2353,999
2354,3521
2355,764
2357,4364
2358,4043
2359,606
2360,14496
2361,886
2365,3410
2369,1175
2370,7556
2371,744
2372,4971
2380,10138
2381,1745
2382,1191
2386,301
2388,3090
2390,8243
2395,778
2396,1163
2397,408
2399,877
2400,10215
2401,323
2402,1912
2403,556
2404,1785
2405,549
2406,740
2408,421
2409,1140
2410,350
2415,281
2420,4066
2421,1521
2422,5217
2423,3228
2424,548
2425,1616
2426,518
2427,2474
2428,22699
2429,9250
2430,32568
2431,4953
